path,bytes,human,files,last_write,verdict,created_by,note
C:\Source\SixFive7\BrowserAI\.work\race-rig-100,0,0 B,0,2026-08-18 06:29:40,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\race-rig,0,0 B,0,2026-08-18 06:28:58,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\timing,402653,393.2 KiB,130,2026-08-18 04:25:18,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\parallel-2026-08-17,6719091,6.4 MiB,132,2026-08-18 00:34:35,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\cache-task,49424054,47.1 MiB,17,2026-08-17 21:53:18,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\window-watch,18909602,18.0 MiB,18,2026-08-17 21:11:43,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\split,206903,202.1 KiB,5,2026-08-17 19:23:49,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\flake,95657,93.4 KiB,63,2026-08-17 19:05:14,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\docaudit,213177,208.2 KiB,4,2026-08-17 16:14:16,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\doc-audit,237078,231.5 KiB,8,2026-08-17 16:05:11,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\sandbox-probe,4780,4.7 KiB,2,2026-08-17 15:37:44,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\release-1.0.0,200925737,191.6 MiB,14,2026-08-17 03:53:36,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\reg,350087,341.9 KiB,37,2026-08-16 23:52:55,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\defects,230590,225.2 KiB,63,2026-08-16 23:00:07,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\notices,15578,15.2 KiB,4,2026-08-16 22:03:39,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step21,1837836,1.8 MiB,24,2026-08-16 21:55:18,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\release-evidence,11180141,10.7 MiB,24,2026-08-16 21:12:47,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step20,888450952,847.3 MiB,247,2026-08-16 21:02:40,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step19,334279,326.4 KiB,32,2026-08-16 19:55:14,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\changelog-probe,254,254 B,4,2026-08-16 18:37:12,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\stderr-17b,28086775,26.8 MiB,632,2026-08-16 18:17:13,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\cp,8230517,7.8 MiB,147,2026-08-16 17:08:20,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\idle-close,39137919,37.3 MiB,552,2026-08-16 16:43:33,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\sweep-measure,4692,4.6 KiB,1,2026-08-16 14:33:17,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe-get-config,559,559 B,1,2026-08-16 13:29:27,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\prov-a,451389780,430.5 MiB,318,2026-08-16 12:46:12,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\index-measure-0a6c5e1f63384a62bc0d04e302a81143,1527,1.5 KiB,17,2026-08-16 09:41:15,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\durable,490,490 B,1,2026-08-16 08:45:55,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step8,3611116,3.4 MiB,22,2026-08-16 07:05:14,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\logs,23568,23.0 KiB,21,2026-08-16 06:28:53,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step6,67891,66.3 KiB,58,2026-08-16 05:47:34,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step5,36855,36.0 KiB,41,2026-08-16 04:50:49,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\step4,295921,289.0 KiB,58,2026-08-16 04:10:49,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\browsers-probe,3775971,3.6 MiB,8,2026-08-16 03:27:57,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\2026-08-15-jeeves-lessons,64887,63.4 KiB,3,2026-08-16 00:01:38,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\velopack-spike,498381462,475.3 MiB,1133,2026-08-15 08:08:22,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\sdk-spike,260009058,248.0 MiB,578,2026-08-15 06:42:06,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\procenum,3930,3.8 KiB,1,2026-08-15 05:22:53,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\wintitle-a,13385268,12.8 MiB,193,2026-08-15 04:39:27,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\wintitle-b,139991126,133.5 MiB,683,2026-08-15 04:38:45,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\restart-measure,138389263,132.0 MiB,2610,2026-08-15 03:00:57,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\fingerprint-test,556645508,530.9 MiB,8568,2026-08-15 02:56:34,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\restart-suppression,21009,20.5 KiB,3,2026-08-15 01:20:52,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\jobtest,404576,395.1 KiB,112,2026-08-15 00:38:43,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\reboot-research,541944,529.2 KiB,15,2026-08-15 00:07:41,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\lifetime,148706,145.2 KiB,42,2026-08-14 06:17:23,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\browsers,356674034,340.2 MiB,71,2026-08-14 05:35:55,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\dl-research,128183,125.2 KiB,33,2026-08-14 04:24:20,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\hook-audit,17550,17.1 KiB,1,2026-08-14 04:17:10,ASK,"agent scratch (.work, gitignored)",older than yesterday and not cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\probe2,19001061,18.1 MiB,199,2026-08-14 03:26:54,KEEP,"agent scratch (.work, gitignored)",cited in .work/STATE.md
C:\Source\SixFive7\BrowserAI\.work\<loose files older than 2026-09-14> (890 files),11285307,10.8 MiB,890,2026-08-30,ASK,agent scratch at .work root,"Loose .py/.log/.txt/.md at the root of .work, all 2026-08. STATE.md, IN-FLIGHT.md, PLAN-course-correction.md and the 2026-09 files are NOT in this group."
HKCU\Software\Microsoft\Windows\CurrentVersion\Uninstall\BrowserAI.app,0,0 B,0,,KEEP,Velopack ARP entry,"DisplayName BrowserAI, 1.0.0, InstallLocation %LocalAppData%\BrowserAI.app. The only BrowserAI ARP key on the machine."
"HKCU\...\Uninstall\{BrowserAI, BrowserAI-rc, BrowserAI.app.test}",0,0 B,0,ABSENT,KEEP,-,ABSENT - all three already gone. HKLM and HKLM\WOW6432Node hold no BrowserAI key either.
HKCU\Software\BrowserAI* and HKLM\Software\BrowserAI*,0,0 B,0,ABSENT,KEEP,-,ABSENT - no such key under either hive.
Start Menu (user + common) and Desktop (user + public): BrowserAI*.lnk,0,0 B,0,ABSENT,KEEP,-,"ABSENT - zero matches in %AppData%\...\Start Menu\Programs (recursive), C:\ProgramData\...\Start Menu\Programs (top level only - a recursive walk of ProgramData is blocked here), C:\Users\jori\Desktop and C:\Users\Public\Desktop."
C:\Users\jori\.claude.json -> mcpServers.browserai,0,0 B,0,,KEEP,BrowserAI Registration,"Single entry, command = %LocalAppData%\BrowserAI.app\current\BrowserAI.exe. No stale BrowserAI path in any project-scoped mcpServers block. REPORT ONLY - not edited."
C:\Source\**\.mcp.json naming a BrowserAI path,0,0 B,0,ABSENT,KEEP,-,"15 .mcp.json files under C:\Source at full depth; exactly one names BrowserAI, and it is the scratch fixture below. No real project config anywhere under C:\Source registers BrowserAI."
C:\Source\SixFive7\BrowserAI\.work\2026-09-15-app\proj\.mcp.json,186,186 B,1,2026-09-15 18:53:47,KEEP,"a project-scope registration test fixture, 2026-09-15","Names ${LOCALAPPDATA}/BrowserAI.app/current/BrowserAI.Server.exe, which does NOT exist - the installed binary is BrowserAI.exe. It is a fixture inside a KEEP .work batch, not a live registration. REPORT ONLY - not edited."
%USERPROFILE%\Downloads\tmp-* (98 dirs + 4 files),22834254589,21.3 GiB,102,2026-09-15 18:26,ASK,"the user-global scratch convention, unrelated tasks","NOT BrowserAI garbage: no directory name refers to BrowserAI, velopack or playwright. 2026-08-23 .. 2026-09-15. Listed only because the order named the path."
Orphaned processes,0,0 B,0,,KEEP,-,"NONE. 5 BrowserAI.exe (pids 48752, 68140, 68852, 76192, 83980) + 5 node.exe, every image path under BrowserAI.app\current. No process runs out of a deleted root or out of .work."
